"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption Comb (L/100 km)","CO2 Emissions(g/km)"
"ACURA","ILX","COMPACT",2,4,"AS5","Z",8.5,196
"ACURA","ILX","COMPACT",2.4,4,"M6","Z",9.6,221
"ACURA","ILX HYBRID","COMPACT",1.5,4,"AV7","Z",5.9,136
"ACURA","MDX 4WD","SUV - SMALL",3.5,6,"AS6","Z",11.1,255
"ACURA","RDX AWD","SUV - SMALL",3.5,6,"AS6","Z",10.6,244
"ACURA","RLX","MID-SIZE",3.5,6,"AS6","Z",10,230
"ACURA","TL","MID-SIZE",3.5,6,"AS6","Z",10.1,232
"ACURA","TL AWD","MID-SIZE",3.7,6,"AS6","Z",11.1,255
"ACURA","TL AWD","MID-SIZE",3.7,6,"M6","Z",11.6,267
"ACURA","TSX","COMPACT",2.4,4,"AS5","Z",9.2,212
"ACURA","TSX","COMPACT",2.4,4,"M6","Z",9.8,225
"ACURA","TSX","COMPACT",3.5,6,"AS5","Z",10.4,239
"ALFA ROMEO","4C","TWO-SEATER",1.8,4,"AM6","Z",8.4,193
"ASTON MARTIN","DB9","MINICOMPACT",5.9,12,"A6","Z",15.6,359
"ASTON MARTIN","RAPIDE","SUBCOMPACT",5.9,12,"A6","Z",15.6,359
"ASTON MARTIN","V8 VANTAGE","TWO-SEATER",4.7,8,"AM7","Z",14.7,338
"ASTON MARTIN","V8 VANTAGE","TWO-SEATER",4.7,8,"M6","Z",15.4,354
"ASTON MARTIN","V8 VANTAGE S","TWO-SEATER",4.7,8,"AM7","Z",14.7,338
"ASTON MARTIN","V8 VANTAGE S","TWO-SEATER",4.7,8,"M6","Z",15.4,354
"ASTON MARTIN","VANQUISH","MINICOMPACT",5.9,12,"A6","Z",15.6,359
"AUDI","A4","COMPACT",2,4,"AV8","Z",8.8,202
"AUDI","A4 QUATTRO","COMPACT",2,4,"AS8","Z",10,230
"AUDI","A4 QUATTRO","COMPACT",2,4,"M6","Z",9.3,214
"AUDI","A5 CABRIOLET QUATTRO","SUBCOMPACT",2,4,"AS8","Z",10,230
"AUDI","A5 QUATTRO","SUBCOMPACT",2,4,"AS8","Z",10,230
"AUDI","A5 QUATTRO","SUBCOMPACT",2,4,"M6","Z",9.3,214
"AUDI","A6 QUATTRO","MID-SIZE",2,4,"AS8","Z",10.2,235
"AUDI","A6 QUATTRO","MID-SIZE",3,6,"AS8","Z",10.9,251
"AUDI","A6 QUATTRO TDI (modified)","MID-SIZE",3,6,"AS8","D",8.1,217
"AUDI","A7 QUATTRO","MID-SIZE",3,6,"AS8","Z",11.2,262
"AUDI","A7 QUATTRO TDI (modified)","MID-SIZE",3,6,"AS8","D",8.1,217
"AUDI","A8","MID-SIZE",3,6,"AS8","Z",11.2,258
"AUDI","A8","MID-SIZE",4,8,"AS8","Z",11.3,265
"AUDI","A8 TDI (modified)","MID-SIZE",3,6,"AS8","D",8.4,224
"AUDI","A8L","FULL-SIZE",3,6,"AS8","Z",11.2,258
"AUDI","A8L","FULL-SIZE",4,8,"AS8","Z",12.5,288
"AUDI","A8L","FULL-SIZE",6.3,12,"AS8","Z",15.5,363
"AUDI","A8L TDI (modified)","FULL-SIZE",3,6,"AS8","D",8.4,224
"AUDI","ALLROAD QUATTRO","STATION WAGON - SMALL",2,4,"AS8","Z",10.5,242
"AUDI","Q5","SUV - SMALL",2,4,"AS8","Z",10.4,239
"AUDI","Q5","SUV - SMALL",3,6,"AS8","Z",11.2,258
"AUDI","Q5 TDI (modified)","SUV - SMALL",3,6,"AS8","D",9,244
"AUDI","Q5 HYBRID","SUV - SMALL",2,4,"AS8","Z",9.2,212
"AUDI","Q7","SUV - STANDARD",3,6,"AS8","Z",13.2,304
"AUDI","Q7 TDI (modified)","SUV - STANDARD",3,6,"AS8","D",10.7,290
"AUDI","R8","TWO-SEATER",4.2,8,"A7","Z",14.6,336
"AUDI","R8","TWO-SEATER",4.2,8,"M6","Z",17.7,407
"AUDI","R8","TWO-SEATER",5.2,10,"A7","Z",14.8,347
"AUDI","R8","TWO-SEATER",5.2,10,"M6","Z",17.8,409
"AUDI","R8 SPYDER","TWO-SEATER",4.2,8,"A7","Z",14.6,336
"AUDI","R8 SPYDER","TWO-SEATER",4.2,8,"M6","Z",17.7,407
"AUDI","R8 SPYDER","TWO-SEATER",5.2,10,"A7","Z",14.8,347
"AUDI","R8 SPYDER","TWO-SEATER",5.2,10,"M6","Z",17.8,409
"AUDI","RS 5","SUBCOMPACT",4.2,8,"A7","Z",13.3,306
"AUDI","RS 5 CABRIOLET","SUBCOMPACT",4.2,8,"A7","Z",13.4,308
"AUDI","RS 7","MID-SIZE",4,8,"AS8","Z",12.5,293
"AUDI","S4","COMPACT",3,6,"A7","Z",11.4,262
"AUDI","S4","COMPACT",3,6,"M6","Z",12.4,285
"AUDI","S5","SUBCOMPACT",3,6,"A7","Z",11.4,262
"AUDI","S5","SUBCOMPACT",3,6,"M6","Z",12.4,285
"AUDI","S5 CABRIOLET","SUBCOMPACT",3,6,"A7","Z",11.6,267
"AUDI","S6","MID-SIZE",4,8,"A7","Z",12.2,281
"AUDI","S7","MID-SIZE",4,8,"A7","Z",12.2,281
"AUDI","S8","MID-SIZE",4,8,"AS8","Z",12.8,300
"AUDI","SQ5","SUV - SMALL",3,6,"AS8","Z",12.7,292
"AUDI","TT COUPE QUATTRO","SUBCOMPACT",2,4,"A6","Z",9.1,209
"AUDI","TT ROADSTER QUATTRO","TWO-SEATER",2,4,"A6","Z",9.1,209
"AUDI","TTS COUPE QUATTRO","SUBCOMPACT",2,4,"A6","Z",10.3,237
"AUDI","TTS ROADSTER QUATTRO","TWO-SEATER",2,4,"A6","Z",10.3,237
"BENTLEY","CONTINENTAL GT","SUBCOMPACT",4,8,"AS8","Z",13.4,314
"BENTLEY","CONTINENTAL GT","SUBCOMPACT",6,12,"AS8","Z",15.5,356
"BENTLEY","CONTINENTAL GTC","SUBCOMPACT",4,8,"AS8","Z",14.2,332
"BENTLEY","CONTINENTAL GTC","SUBCOMPACT",6,12,"AS8","Z",16.5,380
"BENTLEY","CONTINENTAL GT SPEED CONVERTIBLE","SUBCOMPACT",6,12,"AS8","Z",16.5,380
"BENTLEY","FLYING SPUR","MID-SIZE",6,12,"AS8","Z",16.5,388
"BENTLEY","MULSANNE","MID-SIZE",6.8,8,"AS8","Z",19,437
"BMW","320i","COMPACT",2,4,"A8","Z",8.4,193
"BMW","320i","COMPACT",2,4,"M6","Z",8.7,200
"BMW","320i xDRIVE","COMPACT",2,4,"A8","Z",8.8,202
"BMW","328d xDRIVE","COMPACT",2,4,"A8","D",6.7,181
"BMW","328d xDRIVE TOURING","STATION WAGON - SMALL",2,4,"A8","D",6.7,181
"BMW","328i","COMPACT",2,4,"A8","Z",8.4,193
"BMW","328i","COMPACT",2,4,"M6","Z",8.7,200
"BMW","328i xDRIVE","COMPACT",2,4,"A8","Z",9.1,209
"BMW","328i xDRIVE GRAN TURISMO","FULL-SIZE",2,4,"A8","Z",9.1,209
"BMW","328i xDRIVE TOURING","STATION WAGON - SMALL",2,4,"A8","Z",9.1,209
"BMW","335i","COMPACT",3,6,"A8","Z",9.6,221
"BMW","335i","COMPACT",3,6,"M6","Z",10,230
"BMW","335i xDRIVE","COMPACT",3,6,"A8","Z",9.9,228
"BMW","335i xDRIVE","COMPACT",3,6,"M6","Z",10.3,237
"BMW","335i xDRIVE GRAN TURISMO","FULL-SIZE",3,6,"A8","Z",10.1,232
"BMW","428i COUPE","COMPACT",2,4,"A8","Z",8.4,193
"BMW","428i COUPE","COMPACT",2,4,"M6","Z",8.7,200
"BMW","428i xDRIVE COUPE","COMPACT",2,4,"A8","Z",9.1,209
"BMW","435i COUPE","COMPACT",3,6,"A8","Z",9.6,221
"BMW","435i COUPE","COMPACT",3,6,"M6","Z",10,230
"BMW","435i xDRIVE COUPE","COMPACT",3,6,"A8","Z",9.9,228
"BMW","435i xDRIVE COUPE","COMPACT",3,6,"M6","Z",10.3,237
"BMW","528i","MID-SIZE",2,4,"A8","Z",8.8,202
